rule_id,source_section,question,proposal,positive_case_ids,negative_case_ids,boundary_case_ids,official_source_url,clause,verified_on,rights_notes,decision_status,domain_reviewer,product_approver,approved_on,rulepack_before,rulepack_after
GAP-001,§4.6,세이프하버 체크리스트는 있지만 E0~E3·reasonable_basis boolean 판정 조합이 완전하지 않음,,,,,,,,,unresolved,,,,,
GAP-002,§4.2/4.6/§7,목표형과 미래 예측 정보의 포함관계가 완전한 분류 규칙으로 정의되지 않음,,,,,,,,,unresolved,,,,,
GAP-003,§4.4/4.5,"사다리와 추가 필수/조건부 항목(P6,M4,G7/G8 등)의 최종 등급 영향이 명시되지 않은 조합",,,,,,,,,unresolved,,,,,
GAP-004,§6 2-4 / §7,정량/연도 직접근거와 전역인정 사이에서 기준연도·진척·계획/explicit_link 범위 일부 모호,,,,,,,,,unresolved,,,,,
GAP-005,§4.3/§7,INCOMPLETE(PERF/IMPL)의 모든 트랙·복합결손 매핑이 없음,,,,,,,,,unresolved,,,,,
GAP-006,§4.4/4.6,모든 트랙 최상급 우선과 safe harbor 별도 경로가 겹칠 때 우선순위 미명시,,,,,,,,,unresolved,,,,,
GAP-007,§4.4,"목표연도만 있고 목표수치 없음, 수치만 있고 unit 없음, 제품 변형의 일반 경계와의 결합 등 일부 경계 누락",,,,,,,,,unresolved,,,,,
GAP-008,§3.6/13.2,조항번호/기준대응표/재배포 권리 미확정,,,,,,,,,unresolved,,,,,
GAP-009,§1.2/4.9/13.1,법제·발효·유예·세이프하버 사실을 현재 시행법으로 재검증한 근거 미제공,,,,,,,,,unresolved,,,,,
GAP-010,§4.8,실제 GICS→SASB 산업 mapping 및 topic별 필수/선택 조합 미제공,,,,,,,,,unresolved,,,,,
REC-001,C1,사업장과 법인의 비교 가능성 및 대응 관계 인정 조건,,,,,,,,,unresolved,,,,,
REC-002,C1,정상 차이의 설명 인정 범위와 문구 귀속,,,,,,,,,unresolved,,,,,
REC-003,C3,CAPEX 계정 매핑·다년 약속 비교기간·단위,,,,,,,,,unresolved,,,,,
REC-004,C3,임계값 예시 5배의 승인 여부 및 0·음수·결측 분모,,,,,,,,,unresolved,,,,,
REC-005,B5,설명 부재를 확정하기 위한 검색 범위·판독 품질,,,,,,,,,unresolved,,,,,
REC-006,B2,발간 시점·정정공시·비12월 결산·연결자료 부재 처리,,,,,,,,,unresolved,,,,,
REC-007,C4,친환경 분류의 정의와 산정기준 존재 인정 조건,,,,,,,,,unresolved,,,,,
REC-008,C5,단계 차단과 회계 판단 금지 사례,,,,,,,,,unresolved,,,,,
